Sample No,90/39 Cbt,90/43 Cbt,90/44 Cbt,90/48 Cbt,93/149 Cbt,93/151 Cbt,90/49 Ft,90/51 Ft,CD13-3 Ft,CD13-4 Ft,CD13-5 Ft
La,5082.1,59295,33280,5925,94810,7207,28.8,33.2,1274,1628,217.8
Ce,7021.2,75534.9,42832.5,7655.9,90630,10370,56.2,67.5,1863,2673,706.2
Pr,509.9,5835,3456.5,603,5392,670,6.1,6.5,158,198,90.1
Nd,1592,16418,9438.5,1702.3,6538,2066,14.6,58.8,360.6,767.7,455.4
Sm,109.9,1146.7,797,143.2,492,240.2,3.7,3.2,29.4,172.4,149.4
Eu,22.8,236.5,155,37.1,49,77.4,0.4,0.6,8,60.3,51.4
Gd,52.6,512.5,346,93.8,458,211.7,2.7,2.6,21.1,162,134.8
Tb,NA,NA,NA,NA,NA,25.7,NA,NA,2.9,18,15.2
Dy,28.6,338,217.4,65.8,565.6,110.7,1.4,1.5,13.4,104.5,75.4
Ho,NA,NA,NA,NA,39.7,23.2,NA,NA,2.8,19.1,9.5
Er,35.8,394.5,267.5,56.5,79.5,55,0.8,0.4,5,38.5,22.8
Tm,NA,NA,NA,NA,7,6,NA,NA,0.7,5.3,2.8
Yb,2.7,52,34.5,14.3,36,34.9,0.4,0.4,3.2,25.8,12.3
Lu,0.5,8,10,2.5,5.1,4.6,0.1,0,0.6,3.4,1.6
